
hour,day_of_week,historical_price,energy_demand,base_price
6,3,36.06,108.88,39.04
10,2,72.51,164.19,76.52
21,4,44.79,133.03,46.5
11,1,43.28,120.81,47.21
9,3,46.02,122.22,47.36
19,0,47.26,141.47,48.99
6,1,36.43,114.0,40.35
19,3,50.97,127.74,53.23
14,2,67.71,156.56,70.8
1,5,39.69,117.78,43.98
17,1,61.79,127.32,62.73
15,6,59.78,158.27,61.83
17,6,54.53,153.09,58.61
12,0,44.67,147.35,46.4
8,0,56.09,125.82,59.92
0,2,28.42,87.93,29.98
6,0,32.81,104.92,36.96
22,5,43.52,101.8,44.67
2,0,43.82,93.27,46.19
4,1,25.33,82.2,26.56
14,6,53.69,157.74,54.74
6,0,58.22,120.92,57.74
22,6,36.23,104.78,37.95
6,2,53.98,127.05,57.02
20,5,46.84,122.21,49.0
10,1,74.65,155.09,75.86
0,0,25.47,76.51,26.44
8,5,42.65,116.04,44.72
14,2,71.92,163.22,71.38
16,5,57.53,159.72,57.52
16,0,56.6,153.37,58.97
0,2,36.38,93.38,41.84
5,6,35.25,101.43,38.88
5,4,42.37,104.05,46.95
15,0,70.45,160.42,71.16
2,3,34.95,79.03,36.43
18,3,55.76,127.25,58.97
6,1,55.8,124.82,59.69
17,6,65.02,188.08,68.12
15,1,56.42,160.2,59.48
0,5,27.96,75.6,32.25
15,2,74.36,155.72,78.46
19,2,56.26,150.25,61.44
2,0,46.77,108.66,49.98
8,3,40.25,110.25,43.93
19,6,52.49,128.48,56.64
18,5,63.96,129.33,65.24
12,2,75.34,164.15,79.08
0,3,34.09,98.5,37.18
15,2,56.25,182.2,59.34
11,3,63.52,133.25,65.66
8,4,58.59,118.76,62.2
2,3,32.23,85.48,35.89
22,0,33.21,80.74,34.94
21,1,54.88,147.62,55.75
9,1,42.17,128.83,43.99
21,6,69.7,150.86,71.3
23,4,24.56,78.17,27.8
13,5,58.24,155.27,61.88
1,6,25.82,78.0,30.12
21,1,41.56,135.05,44.96
14,5,60.58,130.13,63.72
11,3,46.25,149.04,49.08
19,5,73.78,165.73,77.24
12,1,59.5,129.62,62.28
18,3,43.69,129.71,47.45
22,6,27.54,82.28,32.53
0,6,41.27,93.18,41.35
7,4,52.27,123.77,57.25
